pdf x_grid
3.82643735243e-05 -175.714428279
3.86871734941e-05 -174.773521413
3.91138415677e-05 -173.832614548
3.95444057508e-05 -172.891707683
3.99788941358e-05 -171.950800817
4.04173348991e-05 -171.009893952
4.08597562982e-05 -170.068987087
4.13061866693e-05 -169.128080221
4.17566544236e-05 -168.187173356
4.2211188045e-05 -167.246266491
4.26698160868e-05 -166.305359625
4.31325671687e-05 -165.36445276
4.35994699735e-05 -164.423545895
4.40705532439e-05 -163.482639029
4.45458457794e-05 -162.541732164
4.50253764331e-05 -161.600825299
4.55091741077e-05 -160.659918433
4.59972677528e-05 -159.719011568
4.64896863609e-05 -158.778104703
4.69864589641e-05 -157.837197837
4.74876146305e-05 -156.896290972
4.79931824602e-05 -155.955384107
4.8503191582e-05 -155.014477241
4.90176711496e-05 -154.073570376
4.95366503373e-05 -153.13266351
5.00601583366e-05 -152.191756645
5.05882243521e-05 -151.25084978
5.11208775976e-05 -150.309942914
5.16581472917e-05 -149.369036049
5.2200062654e-05 -148.428129184
5.27466529012e-05 -147.487222318
5.32979472422e-05 -146.546315453
5.38539748744e-05 -145.605408588
5.4414764979e-05 -144.664501722
5.49803467172e-05 -143.723594857
5.5550749225e-05 -142.782687992
5.61260016095e-05 -141.841781126
5.67061329438e-05 -140.900874261
5.72911722627e-05 -139.959967396
5.78811485579e-05 -139.01906053
5.84760907738e-05 -138.078153665
5.90760278022e-05 -137.1372468
5.96809884776e-05 -136.196339934
6.02910015729e-05 -135.255433069
6.0906095794e-05 -134.314526204
6.15262997751e-05 -133.373619338
6.21516420736e-05 -132.432712473
6.27821511654e-05 -131.491805608
6.34178554394e-05 -130.550898742
6.40587831929e-05 -129.609991877
6.4704962626e-05 -128.669085012
6.53564218367e-05 -127.728178146
6.60131888154e-05 -126.787271281
6.66752914402e-05 -125.846364415
6.73427574706e-05 -124.90545755
6.80156145431e-05 -123.964550685
6.86938901652e-05 -123.023643819
6.93776117102e-05 -122.082736954
7.00668064115e-05 -121.141830089
7.07615013575e-05 -120.200923223
7.14617234853e-05 -119.260016358
7.21674995758e-05 -118.319109493
7.28788562475e-05 -117.378202627
7.35958199512e-05 -116.437295762
7.43184169641e-05 -115.496388897
7.50466733838e-05 -114.555482031
7.57806151229e-05 -113.614575166
7.65202679027e-05 -112.673668301
7.72656572479e-05 -111.732761435
7.801680848e-05 -110.79185457
7.87737467116e-05 -109.850947705
7.95364968408e-05 -108.910040839
8.03050835444e-05 -107.969133974
8.10795312725e-05 -107.028227109
8.18598642419e-05 -106.087320243
8.26461064303e-05 -105.146413378
