line	cov_mean	cov_std	percent_below_50	resequence
L1P1-300	45.3006166452	17.3481023015	0.707099872348	True
L1P2-300	45.3532364825	14.1611614377	0.721434541448	True
L1P3-300	67.5427273194	21.5690882077	0.109373575271	False
L1P4-300	67.6542302063	28.2603440611	0.157106170888	False
L1P5-300	72.3690470948	24.8373106429	0.0686217900015	False
L2B1-300	102.726129193	58.7120647375	0.000953843290527	False
L2B2-300	250.621658439	167.425392571	0.000116322352503	False
L2B3-300	17.6277223277	12.0763751547	0.990461345183	True
L2B4-300	90.2060325924	65.6650498338	0.0200539735716	False
L2B5-300	251.344935157	141.329570491	2.32644705007e-05	False
L2C1-300	87.3842843474	39.3424326875	0.0309678695986	False
L2C2-300	135.133146029	61.3633316525	0.00375967745925	False
L2C3-300	13.8262133299	13.7522853065	0.989361965315	True
L2C4-300	141.233015322	80.1130773018	0.00554057730837	False
L2C5-300	67.061928004	36.04316426	0.173221529633	False
L2D1-300	185.851841517	186.401375153	0.00201011146982	False
L2D2-300	225.300553992	295.664175794	0.00207108701611	False
L2D3-300	103.931398524	109.219687203	0.0493725633528	False
L2D4-300	216.074079351	249.326246305	0.00118786549708	False
L2D5-300	216.779572314	258.701836782	0.00380726120858	False
L2J1-300	42.8028653291	66.8012676051	0.812193274266	True
L2J2-300	10.5617576509	7.25850960233	0.995492297277	True
L2J3-300	45.5971338088	48.8313662441	0.717273865209	True
L2J4-300	98.0727170293	121.170869632	0.170372200264	False
L2J5-300	159.210055688	161.079138039	0.0123678403215	False
L2P1-300	86.0214331594	32.3524593819	0.0351964985867	False
L2P2-300	122.028649253	47.720446472	0.00706611758628	False
L2P3-300	110.7175225	42.4848631851	0.00955839893019	False
L2P4-300	186.905612596	84.9638591548	0.00135237805805	False
L2P5-300	74.0127696867	29.0832198428	0.101194274774	False
