Sample	Rep	b0	A	umax	L	z	umax_lw	umax_up	umax_lw_FI	umax_up_FI	TransferTime	Strain	Replicate	Day
L2B1-100	2	0.0389484441436	0.148961128071	0.037552861316	4.50851734765	-5.77088701448	0.0354539747194	0.0396517479127	0.0354539361512	0.0396517864809	100	B	1	100
L2J3-100	2	0.0406179927596	1.02838845945	0.1009357013	4.00939747986	-4.35606822907	0.0987945728853	0.103076829716	0.0987945335409	0.10307686906	100	J	3	100
L2B1-100	3	0.0402124286397	0.134990870616	0.0355786909454	4.7270678489	-5.83728953287	0.0332972347351	0.0378601471556	0.0332971928121	0.0378601890787	100	B	1	100
L2J3-100	3	0.0386091700286	1.0204930474	0.0984000179579	4.26441186437	-4.24394554247	0.0961192091311	0.100680826785	0.0961191672199	0.100680868696	100	J	3	100
L2B1-100	1	0.0408219660188	0.138258569532	0.0405207382233	4.93437774926	-5.59526466545	0.0377195216606	0.0433219547861	0.0377194701866	0.0433220062601	100	B	1	100
L2J3-100	1	0.0381244246428	1.04735008817	0.100316724207	4.13433040329	-4.30889012933	0.0981152447772	0.102518203637	0.0981152043237	0.10251824409	100	J	3	100
L2B2-100	2	0.042720833117	0.121568445071	0.0372059823898	3.99790207655	-5.37614826117	0.0332690592968	0.0411429054827	0.0332689869536	0.0411429778259	100	B	2	100
L2J4-200	2	0.0436543606395	1.12257414642	0.105189267821	5.97964586091	-4.12659370297	0.102828004939	0.107550530704	0.102827961549	0.107550574094	100	J	4	200
L2B2-100	3	0.0413006956658	0.123878638541	0.0336702784934	3.75044174045	-5.67933458716	0.0309652880763	0.0363752689104	0.0309652383706	0.0363753186162	100	B	2	100
L2J4-200	3	0.0429006934056	1.05591063097	0.0971145105402	6.19835145501	-4.09051843351	0.0947042962475	0.0995247248329	0.0947042519585	0.0995247691219	100	J	4	200
L2B2-100	1	0.0414951579446	0.118305681877	0.0309942646471	4.02375382316	-5.61504254653	0.0285114945939	0.0334770347002	0.0285114489716	0.0334770803225	100	B	2	100
L2J4-200	1	0.0416831044988	1.07921733975	0.0984497588188	6.09311543516	-4.18328750005	0.0962034761844	0.100696041453	0.0962034349077	0.10069608273	100	J	4	200
L2J1-100	2	0.0485401411402	0.703270259357	0.0821496143925	5.03023524176	-4.36980047605	0.078905374243	0.085393854542	0.0789053146282	0.0853939141568	100	J	1	100
