Line	Strain	Treatment	Rep	Day	iRep	iRep_unfiltered	iRep_noGC	r2	Mean_cov	Windows_perc	Frags_mbp	GC_bias	GC_r2
Sample_L1B3-200	B	1	3	200	1.55141825243	1.55141825243	1.52571083239	0.933078915425	76.6848197269	100.00	0	0.0114472231256	0.00046276293946
Sample_L1B4-200	B	1	4	200	n/a	1.47865304573	1.61958700275	0.895204909233	54.4758986208	100.00	0	-0.124904598783	0.00304050265555
Sample_L1B5-200	B	1	5	200	n/a	1.51635525688	1.79081198834	0.779615958255	48.4803745713	100.00	0	-7.46883061659	0.0700050083492
Sample_L2B1-200	B	2	1	200	1.23093246602	1.23093246602	1.36863839277	0.955271202758	47.3394581876	100.00	0	-7.36362652362	0.110644570574
Sample_L2B2-200	B	2	2	200	1.2447518998	1.2447518998	1.54944790895	0.928911814702	61.5043996612	100.00	0	-35.7797645105	0.230368448998
Sample_L2B3-200	B	2	3	200	1.24133940083	1.24133940083	1.24758723339	0.974263088521	29.5195563497	100.00	0	5.52431851812	0.169994930466
Sample_L2B4-200	B	2	4	200	1.23452899183	1.23452899183	1.48763687783	0.961181487207	41.7410584493	100.00	0	-43.4822082436	0.415644798915
Sample_L2B5-200	B	2	5	200	1.23495506756	1.23495506756	1.52979677608	0.918514320869	118.909902773	100.00	0	-256.384730168	0.650662349861
Sample_L0B1-300	B	0	1	300	1.61860439224	1.61860439224	1.70701805334	0.989189020893	159.78604031	100.00	0	-79.135509945	0.221695909403
Sample_L0B2-300	B	0	2	300	1.47224771345	1.47224771345	1.61709257374	0.9844004977	150.067326492	100.00	0	-210.656665758	0.428691827347
Sample_L0B3-300	B	0	3	300	1.55353052383	1.55353052383	1.67487662177	0.986678377743	204.229725298	100.00	0	-177.346989772	0.323794306832
Sample_L0B4-300	B	0	4	300	1.54368104313	1.54368104313	1.65508684124	0.981205363783	217.014043981	100.00	0	-214.578685773	0.329785676195
Sample_L0B5-300	B	0	5	300	1.46539883656	1.46539883656	1.57555157443	0.982299074409	212.571602183	100.00	0	-193.761811117	0.340754922914
Sample_L1B1-300	B	1	1	300	1.43089911332	1.43089911332	1.75069241901	0.975202977085	244.099806207	100.00	0	-467.545175674	0.487288852969
Sample_L1B2-300	B	1	2	300	n/a	1.54261530159	1.70327439271	0.649940502469	25.0028680599	100.00	0	-2.64041551	0.0554265668226
Sample_L1B3-300	B	1	3	300	1.67587535579	1.67587535579	1.84648829747	0.942808613271	208.55002719	100.00	0	-0.550272770004	0.00310684254376
Sample_L1B4-300	B	1	4	300	1.60560760334	1.60560760334	1.81755373236	0.903844304049	149.493911972	100.00	0	-1.04897681552	0.00613786191604
Sample_L1B5-300	B	1	5	300	1.47573600693	1.47573600693	1.76003633233	0.936019836489	99.2765683387	100.00	0	-7.85721620309	0.0400115941435
Sample_L2B1-300	B	2	1	300	1.28886779215	1.28886779215	1.28551241533	0.958598387869	84.2329508478	100.00	0	0.000924571597004	0.000146160159819
Sample_L2B2-300	B	2	2	300	1.3355335006	1.3355335006	1.33275804357	0.959062513375	203.747737719	100.00	0	0.00268094645854	0.000142520818416
Sample_L2B3-300	B	2	3	300	1.38260861285	1.38260861285	1.39441967773	0.977898765276	14.170475008	100.00	0	-0.0172184719163	0.00489455418694
Sample_L2B4-300	B	2	4	300	1.34462119303	1.34462119303	1.1903495586	0.954412629114	73.8781817649	100.00	0	6.67681648449	0.0468683963938
Sample_L2B5-300	B	2	5	300	1.30490042725	1.30490042725	1.60352999096	0.901869207321	204.259875862	100.00	0	-212.69931047	0.363929121735
