Time	Temp_C	blank_water_1	L0J4-300_1	L0J1-300_2	L0J5-300_2	L0J1-300_3	L0J5-300_3	L0J1-300_1	L0J5-300_1	L0J2-300_2	L1J1-300_2	L0J2-300_3	L1J1-300_3	L0J2-300_1	L1J1-300_1	L0J3-300_2	L1J2-300_2	L0J3-300_3	L1J2-300_3	L0J3-300_1	L1J2-300_1	L0J4-300_2	blank_media_1	L0J4-300_3	blank_water_2
2:30:07	25.2	0.036	0.042	0.041	0.042	0.042	0.042	0.041	0.041	0.040	0.046	0.038	0.047	0.038	0.046	0.040	0.041	0.039	0.039	0.038	0.040	0.040	0.036	0.042	0.040
2:45:08	25.2	0.036	0.042	0.042	0.043	0.043	0.042	0.041	0.042	0.040	0.047	0.038	0.048	0.038	0.047	0.040	0.041	0.039	0.039	0.038	0.040	0.041	0.036	0.042	0.040
3:00:10	25.2	0.036	0.043	0.042	0.043	0.043	0.043	0.043	0.043	0.040	0.049	0.039	0.049	0.038	0.048	0.041	0.042	0.039	0.039	0.038	0.040	0.041	0.036	0.043	0.039
3:15:10	25.2	0.036	0.043	0.043	0.044	0.044	0.043	0.043	0.043	0.041	0.050	0.039	0.050	0.039	0.050	0.041	0.042	0.040	0.040	0.039	0.040	0.042	0.036	0.043	0.039
3:30:12	25.2	0.036	0.045	0.044	0.045	0.046	0.044	0.044	0.044	0.041	0.052	0.040	0.052	0.039	0.051	0.042	0.042	0.040	0.040	0.039	0.041	0.042	0.036	0.044	0.039
3:45:13	25.2	0.036	0.046	0.045	0.046	0.046	0.045	0.044	0.045	0.041	0.055	0.040	0.054	0.039	0.053	0.042	0.043	0.041	0.040	0.039	0.041	0.043	0.036	0.044	0.039
4:00:14	25.2	0.036	0.046	0.046	0.048	0.048	0.047	0.046	0.046	0.042	0.057	0.040	0.056	0.039	0.056	0.043	0.043	0.041	0.041	0.040	0.041	0.044	0.036	0.045	0.039
4:15:15	25.2	0.037	0.048	0.049	0.049	0.049	0.048	0.047	0.048	0.042	0.059	0.040	0.058	0.040	0.058	0.044	0.044	0.042	0.041	0.041	0.042	0.045	0.036	0.047	0.039
4:30:15	25.2	0.036	0.049	0.050	0.051	0.051	0.049	0.048	0.050	0.042	0.062	0.041	0.061	0.040	0.061	0.045	0.045	0.043	0.042	0.041	0.042	0.046	0.036	0.048	0.039
4:45:17	25.2	0.036	0.051	0.053	0.053	0.053	0.051	0.050	0.051	0.043	0.066	0.042	0.065	0.041	0.065	0.046	0.045	0.044	0.042	0.042	0.043	0.047	0.036	0.049	0.039
5:00:17	25.2	0.036	0.056	0.054	0.056	0.055	0.054	0.052	0.054	0.044	0.070	0.042	0.069	0.041	0.069	0.048	0.046	0.045	0.043	0.043	0.043	0.049	0.037	0.051	0.039
5:15:19	25.2	0.036	0.056	0.060	0.059	0.058	0.055	0.079	0.056	0.045	0.075	0.043	0.074	0.042	0.073	0.049	0.047	0.046	0.044	0.044	0.044	0.050	0.036	0.054	0.039
5:30:20	25.2	0.036	0.061	0.068	0.063	0.065	0.059	0.061	0.060	0.046	0.081	0.044	0.078	0.042	0.079	0.050	0.048	0.047	0.045	0.045	0.045	0.054	0.036	0.058	0.039
5:45:21	25.2	0.036	0.068	0.073	0.072	0.071	0.065	0.065	0.066	0.047	0.090	0.045	0.084	0.043	0.086	0.052	0.050	0.049	0.046	0.046	0.046	0.058	0.036	0.063	0.039
6:00:22	25.1	0.036	0.077	0.077	0.076	0.074	0.072	0.067	0.068	0.048	0.097	0.047	0.094	0.045	0.096	0.055	0.051	0.050	0.047	0.047	0.047	0.064	0.036	0.071	0.038
6:15:23	25.1	0.036	0.083	0.080	0.079	0.076	0.076	0.070	0.070	0.050	0.103	0.049	0.100	0.046	0.103	0.060	0.053	0.053	0.048	0.050	0.049	0.073	0.036	0.079	0.039
6:30:24	25.1	0.036	0.089	0.087	0.082	0.083	0.078	0.075	0.076	0.051	0.109	0.050	0.105	0.048	0.109	0.068	0.055	0.056	0.050	0.052	0.050	0.077	0.036	0.084	0.039
6:45:26	25.1	0.036	0.105	0.088	0.087	0.087	0.083	0.083	0.083	0.054	0.115	0.052	0.111	0.050	0.115	0.072	0.057	0.065	0.052	0.057	0.052	0.081	0.036	0.088	0.039
7:00:27	25.1	0.036	0.102	0.092	0.091	0.089	0.091	0.087	0.089	0.057	0.121	0.056	0.116	0.052	0.121	0.074	0.060	0.069	0.054	0.065	0.055	0.089	0.036	0.099	0.038
7:15:28	25.1	0.036	0.106	0.097	0.098	0.096	0.095	0.094	0.095	0.063	0.127	0.064	0.122	0.056	0.127	0.076	0.067	0.070	0.058	0.072	0.058	0.097	0.036	0.105	0.038
7:30:28	25.1	0.036	0.108	0.102	0.103	0.100	0.103	0.099	0.102	0.067	0.133	0.071	0.127	0.063	0.131	0.084	0.075	0.073	0.063	0.075	0.063	0.104	0.036	0.112	0.038
7:45:30	25.1	0.036	0.120	0.111	0.111	0.107	0.110	0.106	0.110	0.071	0.140	0.072	0.133	0.067	0.139	0.092	0.078	0.081	0.071	0.079	0.070	0.111	0.036	0.121	0.038
8:00:31	25.1	0.036	0.128	0.116	0.118	0.113	0.116	0.114	0.119	0.075	0.146	0.077	0.138	0.070	0.144	0.099	0.085	0.089	0.075	0.081	0.077	0.116	0.036	0.129	0.038
8:15:32	25.1	0.036	0.136	0.124	0.128	0.120	0.126	0.121	0.126	0.082	0.154	0.084	0.145	0.075	0.151	0.104	0.093	0.097	0.081	0.087	0.081	0.126	0.036	0.136	0.038
8:30:33	25.1	0.036	0.145	0.133	0.138	0.129	0.134	0.129	0.135	0.088	0.161	0.088	0.151	0.083	0.157	0.111	0.098	0.105	0.090	0.098	0.085	0.136	0.036	0.145	0.038
8:45:34	25.1	0.036	0.153	0.142	0.149	0.139	0.141	0.137	0.143	0.095	0.169	0.096	0.156	0.089	0.165	0.119	0.103	0.113	0.095	0.106	0.092	0.143	0.036	0.156	0.038
9:00:34	25.1	0.036	0.164	0.153	0.159	0.149	0.150	0.145	0.150	0.099	0.177	0.101	0.163	0.094	0.171	0.129	0.108	0.123	0.100	0.113	0.099	0.155	0.036	0.165	0.038
9:15:36	25.1	0.036	0.174	0.164	0.171	0.161	0.160	0.157	0.160	0.106	0.184	0.108	0.168	0.101	0.178	0.138	0.113	0.132	0.106	0.122	0.105	0.161	0.036	0.176	0.038
9:30:37	25.1	0.036	0.186	0.175	0.183	0.171	0.172	0.165	0.172	0.115	0.190	0.117	0.175	0.108	0.186	0.146	0.118	0.139	0.111	0.132	0.109	0.168	0.036	0.188	0.038
9:45:38	25.1	0.036	0.198	0.187	0.198	0.185	0.185	0.177	0.185	0.122	0.198	0.125	0.181	0.115	0.194	0.157	0.124	0.148	0.117	0.145	0.117	0.180	0.036	0.199	0.038
10:00:39	25.1	0.036	0.209	0.199	0.214	0.200	0.199	0.190	0.196	0.129	0.205	0.132	0.188	0.124	0.201	0.169	0.130	0.160	0.123	0.155	0.122	0.192	0.035	0.212	0.038
10:15:39	25.1	0.035	0.230	0.216	0.228	0.213	0.213	0.202	0.210	0.139	0.212	0.141	0.194	0.133	0.209	0.180	0.138	0.173	0.131	0.167	0.129	0.205	0.036	0.226	0.038
10:30:41	25.1	0.036	0.251	0.231	0.246	0.228	0.228	0.219	0.226	0.147	0.221	0.151	0.200	0.142	0.217	0.195	0.145	0.186	0.138	0.181	0.136	0.222	0.036	0.241	0.038
10:45:42	25.1	0.035	0.265	0.249	0.264	0.247	0.246	0.236	0.242	0.156	0.228	0.161	0.208	0.151	0.224	0.211	0.152	0.201	0.145	0.194	0.145	0.237	0.035	0.258	0.038
11:00:43	25.1	0.036	0.279	0.268	0.282	0.263	0.262	0.254	0.258	0.165	0.236	0.170	0.217	0.162	0.232	0.227	0.161	0.216	0.154	0.209	0.153	0.253	0.036	0.277	0.038
11:15:43	25.1	0.036	0.302	0.287	0.301	0.282	0.285	0.277	0.273	0.177	0.242	0.181	0.224	0.172	0.243	0.245	0.168	0.231	0.161	0.223	0.158	0.274	0.035	0.294	0.038
11:30:43	25.1	0.036	0.324	0.304	0.323	0.301	0.306	0.297	0.294	0.187	0.250	0.193	0.233	0.184	0.249	0.260	0.177	0.250	0.169	0.242	0.166	0.293	0.036	0.314	0.040
11:45:45	25.1	0.036	0.338	0.324	0.340	0.321	0.331	0.318	0.317	0.199	0.257	0.205	0.239	0.195	0.256	0.281	0.185	0.269	0.175	0.266	0.175	0.314	0.035	0.333	0.037
12:00:46	25.1	0.036	0.358	0.344	0.356	0.339	0.356	0.337	0.339	0.215	0.267	0.219	0.248	0.207	0.265	0.298	0.193	0.291	0.184	0.289	0.183	0.336	0.035	0.353	0.038
12:15:47	25.1	0.036	0.381	0.368	0.379	0.358	0.377	0.357	0.362	0.226	0.272	0.233	0.257	0.220	0.270	0.319	0.201	0.313	0.193	0.310	0.191	0.354	0.036	0.373	0.038
12:30:47	25.1	0.036	0.401	0.398	0.401	0.385	0.405	0.384	0.390	0.241	0.279	0.249	0.265	0.237	0.278	0.340	0.210	0.334	0.203	0.347	0.200	0.378	0.036	0.431	0.038
12:45:49	25.1	0.035	0.431	0.410	0.421	0.405	0.437	0.403	0.415	0.257	0.284	0.265	0.272	0.251	0.286	0.363	0.220	0.359	0.212	0.225	0.210	0.343	0.036	0.333	0.038
13:00:50	25.0	0.036	0.446	0.434	0.441	0.422	0.294	0.429	0.436	0.274	0.291	0.285	0.279	0.267	0.292	0.385	0.230	0.383	0.221	0.258	0.221	0.341	0.036	0.371	0.038
13:15:52	25.1	0.035	0.462	0.459	0.462	0.439	0.334	0.444	0.458	0.290	0.298	0.304	0.287	0.283	0.300	0.409	0.239	0.405	0.232	0.334	0.230	0.360	0.035	0.403	0.038
13:30:52	25.1	0.035	0.500	0.478	0.491	0.466	0.326	0.471	0.485	0.310	0.304	0.324	0.293	0.299	0.305	0.432	0.249	0.430	0.244	0.326	0.239	0.399	0.036	0.404	0.038
13:45:54	25.1	0.035	0.497	0.493	0.378	0.410	0.372	0.365	0.506	0.331	0.310	0.344	0.302	0.316	0.313	0.457	0.260	0.357	0.254	0.354	0.248	0.419	0.035	0.438	0.038
14:00:55	25.1	0.035	0.448	0.503	0.444	0.473	0.395	0.407	0.524	0.347	0.316	0.363	0.310	0.332	0.318	0.382	0.272	0.361	0.263	0.399	0.259	0.432	0.036	0.435	0.038
14:15:55	25.1	0.036	0.479	0.456	0.416	0.424	0.408	0.409	0.500	0.365	0.322	0.389	0.315	0.352	0.325	0.420	0.281	0.418	0.277	0.416	0.271	0.432	0.036	0.449	0.038
14:30:57	25.1	0.036	0.506	0.464	0.452	0.489	0.416	0.457	0.431	0.386	0.330	0.407	0.323	0.366	0.329	0.457	0.291	0.413	0.286	0.407	0.281	0.436	0.036	0.458	0.038
14:45:57	25.1	0.035	0.516	0.453	0.644	0.471	0.432	0.435	0.457	0.403	0.335	0.423	0.329	0.387	0.339	0.499	0.302	0.448	0.297	0.412	0.289	0.468	0.035	0.484	0.037
15:00:59	25.1	0.035	0.535	0.466	0.481	0.500	0.436	0.449	0.479	0.419	0.342	0.440	0.336	0.339	0.340	0.502	0.313	0.435	0.306	0.431	0.300	0.475	0.036	0.481	0.038
15:16:00	25.1	0.035	0.532	0.514	0.524	0.496	0.459	0.475	0.490	0.440	0.346	0.458	0.342	0.383	0.346	0.483	0.321	0.469	0.318	0.426	0.312	0.486	0.035	0.504	0.038
15:31:01	25.1	0.035	0.550	0.506	0.525	0.478	0.468	0.488	0.508	0.458	0.352	0.477	0.348	0.383	0.352	0.511	0.333	0.479	0.328	0.444	0.323	0.495	0.036	0.502	0.038
15:46:01	25.1	0.035	0.548	0.507	0.531	0.495	0.466	0.485	0.515	0.470	0.358	0.494	0.355	0.411	0.356	0.503	0.343	0.520	0.340	0.451	0.332	0.495	0.035	0.530	0.038
16:01:03	25.1	0.035	0.573	0.519	0.536	0.496	0.490	0.505	0.508	0.488	0.366	0.477	0.362	0.444	0.359	0.545	0.354	0.512	0.354	0.460	0.345	0.501	0.035	0.519	0.038
16:16:04	25.1	0.035	0.567	0.559	0.531	0.513	0.492	0.509	0.535	0.498	0.368	0.506	0.365	0.428	0.364	0.567	0.364	0.497	0.359	0.475	0.355	0.520	0.035	0.542	0.038
16:31:05	25.1	0.035	0.582	0.548	0.536	0.519	0.506	0.514	0.525	0.509	0.373	0.496	0.370	0.454	0.371	0.557	0.374	0.512	0.372	0.490	0.370	0.530	0.035	0.533	0.038
16:46:06	25.1	0.035	0.592	0.541	0.544	0.544	0.522	0.528	0.540	0.524	0.381	0.505	0.377	0.459	0.374	0.560	0.383	0.521	0.381	0.498	0.378	0.544	0.036	0.531	0.038
17:01:06	25.1	0.035	0.604	0.557	0.570	0.544	0.516	0.551	0.545	0.538	0.385	0.520	0.383	0.454	0.381	0.574	0.392	0.570	0.392	0.487	0.388	0.534	0.035	0.554	0.038
17:16:08	25.1	0.035	0.605	0.579	0.559	0.549	0.534	0.562	0.563	0.546	0.388	0.516	0.387	0.469	0.386	0.575	0.402	0.551	0.404	0.504	0.396	0.534	0.035	0.558	0.038
17:31:09	25.1	0.035	0.617	0.562	0.568	0.577	0.527	0.578	0.566	0.468	0.394	0.533	0.394	0.473	0.386	0.593	0.410	0.551	0.415	0.505	0.388	0.545	0.035	0.575	0.038
17:46:09	25.1	0.035	0.622	0.605	0.586	0.572	0.522	0.595	0.560	0.497	0.397	0.558	0.400	0.501	0.392	0.588	0.419	0.567	0.427	0.513	0.395	0.563	0.035	0.583	0.039
18:01:10	25.1	0.035	0.649	0.601	0.620	0.587	0.523	0.597	0.584	0.524	0.406	0.565	0.404	0.498	0.401	0.600	0.430	0.566	0.431	0.524	0.402	0.554	0.035	0.573	0.038
18:16:11	25.1	0.035	0.647	0.619	0.589	0.595	0.504	0.608	0.591	0.534	0.407	0.539	0.407	0.507	0.406	0.636	0.438	0.564	0.427	0.514	0.413	0.584	0.035	0.593	0.039
18:31:12	25.1	0.035	0.664	0.614	0.598	0.615	0.548	0.631	0.582	0.543	0.414	0.559	0.409	0.513	0.407	0.613	0.449	0.591	0.429	0.517	0.423	0.594	0.035	0.590	0.038
18:46:12	25.1	0.035	0.670	0.621	0.610	0.634	0.528	0.558	0.593	0.548	0.418	0.582	0.417	0.500	0.411	0.611	0.456	0.586	0.434	0.510	0.430	0.610	0.035	0.589	0.038
19:01:14	25.1	0.035	0.627	0.616	0.631	0.565	0.518	0.560	0.582	0.566	0.424	0.591	0.422	0.525	0.421	0.631	0.468	0.585	0.451	0.513	0.438	0.629	0.035	0.630	0.038
19:16:14	25.1	0.035	0.669	0.586	0.628	0.584	0.545	0.570	0.570	0.567	0.428	0.615	0.427	0.517	0.420	0.652	0.478	0.591	0.453	0.534	0.441	0.616	0.035	0.622	0.038
19:31:16	25.1	0.035	0.667	0.617	0.568	0.602	0.549	0.577	0.568	0.580	0.431	0.598	0.430	0.545	0.426	0.640	0.490	0.587	0.462	0.538	0.447	0.636	0.035	0.645	0.038
19:46:17	25.1	0.036	0.682	0.580	0.616	0.594	0.557	0.599	0.581	0.581	0.435	0.611	0.434	0.535	0.432	0.648	0.498	0.596	0.465	0.526	0.452	0.643	0.035	0.646	0.039
20:01:17	25.1	0.035	0.721	0.647	0.668	0.616	0.573	0.594	0.593	0.612	0.439	0.617	0.438	0.553	0.433	0.649	0.510	0.618	0.471	0.549	0.463	0.665	0.035	0.667	0.039
20:16:18	25.1	0.036	0.692	0.596	0.593	0.620	0.567	0.606	0.595	0.598	0.443	0.622	0.442	0.555	0.443	0.652	0.520	0.606	0.478	0.537	0.467	0.674	0.035	0.666	0.039
20:31:19	25.1	0.035	0.700	0.629	0.665	0.613	0.569	0.612	0.591	0.609	0.448	0.636	0.449	0.552	0.448	0.664	0.531	0.609	0.475	0.543	0.466	0.647	0.035	0.644	0.039
20:46:20	25.1	0.035	0.722	0.607	0.642	0.624	0.590	0.610	0.614	0.620	0.453	0.638	0.450	0.561	0.451	0.684	0.558	0.604	0.490	0.556	0.473	0.625	0.035	0.646	0.039
21:01:21	25.1	0.036	0.755	0.629	0.620	0.634	0.593	0.623	0.604	0.624	0.456	0.675	0.455	0.571	0.455	0.655	0.507	0.630	0.492	0.558	0.480	0.637	0.035	0.649	0.039
21:16:21	25.1	0.035	0.718	0.647	0.627	0.650	0.607	0.636	0.606	0.635	0.460	0.584	0.459	0.534	0.460	0.682	0.519	0.607	0.504	0.566	0.481	0.645	0.035	0.660	0.039
21:31:23	25.1	0.035	0.755	0.622	0.651	0.633	0.635	0.639	0.610	0.645	0.466	0.604	0.466	0.546	0.463	0.704	0.510	0.636	0.509	0.569	0.485	0.693	0.035	0.662	0.039
21:46:24	25.1	0.036	0.754	0.632	0.717	0.655	0.607	0.648	0.608	0.668	0.469	0.631	0.464	0.553	0.468	0.678	0.542	0.616	0.515	0.578	0.487	0.665	0.035	0.688	0.039
22:01:25	25.1	0.036	0.763	0.738	0.696	0.641	0.649	0.648	0.627	0.601	0.473	0.638	0.471	0.559	0.470	0.700	0.545	0.740	0.521	0.584	0.486	0.676	0.035	0.692	0.039
22:16:26	25.1	0.036	0.742	0.696	0.701	0.659	0.663	0.654	0.630	0.600	0.478	0.652	0.476	0.582	0.474	0.692	0.544	0.639	0.520	0.592	0.492	0.696	0.035	0.695	0.039
22:31:25	25.1	0.036	0.750	0.686	0.686	0.674	0.650	0.667	0.645	0.620	0.482	0.657	0.478	0.581	0.478	0.711	0.552	0.637	0.526	0.595	0.493	0.706	0.035	0.691	0.039
22:46:26	25.1	0.036	0.758	0.713	0.685	0.726	0.693	0.669	0.618	0.637	0.485	0.678	0.481	0.587	0.484	0.697	0.559	0.644	0.531	0.603	0.500	0.700	0.035	0.714	0.039
23:01:28	25.1	0.036	0.733	0.687	0.713	0.712	0.615	0.703	0.620	0.633	0.486	0.674	0.489	0.601	0.487	0.688	0.572	0.649	0.536	0.598	0.502	0.699	0.035	0.718	0.039
23:16:29	25.1	0.036	0.783	0.726	0.730	0.725	0.585	0.646	0.620	0.651	0.488	0.687	0.488	0.603	0.495	0.709	0.561	0.649	0.538	0.597	0.509	0.686	0.035	0.681	0.039
23:31:30	25.1	0.036	0.781	0.733	0.666	0.721	0.734	0.634	0.625	0.652	0.501	0.697	0.497	0.612	0.499	0.728	0.573	0.667	0.539	0.595	0.506	0.710	0.035	0.695	0.039
23:46:31	25.1	0.036	0.786	0.748	0.664	0.796	0.695	0.616	0.641	0.666	0.499	0.707	0.502	0.607	0.503	0.713	0.574	0.670	0.551	0.612	0.509	0.716	0.035	0.705	0.039
24:01:32	25.1	0.036	0.802	0.744	0.742	0.767	0.702	0.626	0.637	0.667	0.505	0.683	0.505	0.601	0.511	0.722	0.585	0.668	0.556	0.622	0.510	0.716	0.035	0.711	0.039
